,torque,bandwidth
0,0.1,10.924653906964227
1,0.1,12.049859980627025
2,0.1,10.599656650621945
3,0.25,20.37499653625059
4,0.25,20.799923976277867
5,0.25,19.299944223161194
6,0.5,21.674432996832802
7,0.5,22.92370595679874
8,0.5,22.149779498945087
9,0.75,27.498686525238117
10,0.75,26.949303562622685
11,0.75,27.124148233935085
12,1.0,28.17347968860231
13,1.0,26.398836471282532
14,1.0,27.223671552887396
15,1.25,26.898977906087016
16,1.25,20.574144269904455
17,1.25,26.97413419772759
18,1.5,27.074846147186765
19,1.5,20.49936344351667
20,1.5,28.173968057984958
21,2.0,22.074833886875002
22,2.0,20.449225536705864
23,2.0,21.349726670124305
